2017-03-14 09:38:12,799 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=9ddabeda-b8f4-4b79-9663-14bf749b62d5
2017-03-14 09:38:24,582 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2017-03-14 09:38:24,582 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2017-03-14 09:38:24,592 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2017-03-14 09:38:24,592 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2017-03-14 09:38:24,592 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2017-03-14 09:38:24,622 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Could not initialize Feedback Control System from configuration: Invalid configuration file E:\PhotonServer\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config. Using default settings... (未能找到文件“E:\PhotonServer\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config”。)
2017-03-14 09:38:24,632 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in E:\PhotonServer\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\ServerState.txt
2017-03-14 09:38:24,632 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2017-03-14 09:38:24,632 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2017-03-14 09:38:24,732 [1] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=9ddabeda-b8f4-4b79-9663-14bf749b62d5
2017-03-14 09:38:24,752 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=Game; AppPath=E:\PhotonServer\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\LoadBalancing\GameServer, Type=Photon.LoadBalancing.GameServer.GameApplication 
2017-03-14 09:38:24,752 [1] INFO  Photon.SocketServer.Diagnostics.CounterPublisher - CounterPublisher started publishing ExitGames.Diagnostics.Monitoring.CounterSamplePublisher to ExitGames.Diagnostics.Monitoring.CounterSampleSender
2017-03-14 09:38:30,812 [15] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection established: address:127.0.0.1
2017-03-14 09:38:30,812 [15] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2017-03-14 09:38:30,812 [15] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Registering game server with address 127.0.0.1, TCP 4531, UDP 5056, WebSocket 9091, Secure WebSocket 19091, HTTP 80, ServerID 9ddabeda-b8f4-4b79-9663-14bf749b62d5, Hostname localhost, IPv6Address 
2017-03-14 09:38:30,882 [9] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Successfully registered at master server: serverId=9ddabeda-b8f4-4b79-9663-14bf749b62d5
2017-03-14 09:39:15,729 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - OnStopRequested: serverid=9ddabeda-b8f4-4b79-9663-14bf749b62d5
2017-03-14 09:39:15,729 [1] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=Game
2017-03-14 09:39:15,749 [17] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - connection to master closed (id=2, reason=ManagedDisconnect, detail=), serverId=9ddabeda-b8f4-4b79-9663-14bf749b62d5
2017-03-14 09:39:15,749 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TearDown: serverId=9ddabeda-b8f4-4b79-9663-14bf749b62d5
2017-03-14 09:39:15,749 [1] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=Game
2017-03-14 09:40:27,532 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=0eb46b4b-d5b5-4ae1-9147-153c0b361d9a
2017-03-14 09:40:29,162 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - HTTP Queue performance counters successfully initialized
2017-03-14 09:40:29,162 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - Internal HTTP Queue performance counters successfully created
2017-03-14 09:40:29,172 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TokenCreator intialized with an expiration of 02:46:40
2017-03-14 09:40:33,989 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Business Logic Queue
2017-03-14 09:40:33,989 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Queue
2017-03-14 09:40:33,989 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes in/sec
2017-03-14 09:40:33,989 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes out/sec
2017-03-14 09:40:33,989 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Processing
2017-03-14 09:40:33,989 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Active
2017-03-14 09:40:33,989 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: In (ms)
2017-03-14 09:40:33,989 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: Out (ms)
2017-03-14 09:40:33,989 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers +/sec
2017-03-14 09:40:33,989 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2017-03-14 09:40:33,989 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2017-03-14 09:40:33,989 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2017-03-14 09:40:33,989 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2017-03-14 09:40:33,989 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2017-03-14 09:40:33,999 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Could not initialize Feedback Control System from configuration: Invalid configuration file E:\PhotonServer\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config. Using default settings... (未能找到文件“E:\PhotonServer\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config”。)
2017-03-14 09:40:33,999 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in E:\PhotonServer\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\ServerState.txt
2017-03-14 09:40:34,009 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2017-03-14 09:40:34,009 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2017-03-14 09:40:34,079 [1] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=0eb46b4b-d5b5-4ae1-9147-153c0b361d9a
2017-03-14 09:40:34,099 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=Game; AppPath=E:\PhotonServer\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\LoadBalancing\GameServer, Type=Photon.LoadBalancing.GameServer.GameApplication 
2017-03-14 09:40:34,099 [1] INFO  Photon.SocketServer.Diagnostics.CounterPublisher - CounterPublisher started publishing ExitGames.Diagnostics.Monitoring.CounterSamplePublisher to ExitGames.Diagnostics.Monitoring.CounterSampleSender
2017-03-14 09:40:36,159 [10] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection established: address:127.0.0.1
2017-03-14 09:40:36,159 [10] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2017-03-14 09:40:36,169 [10] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Registering game server with address 127.0.0.1, TCP 4531, UDP 5056, WebSocket 9091, Secure WebSocket 19091, HTTP 80, ServerID 0eb46b4b-d5b5-4ae1-9147-153c0b361d9a, Hostname localhost, IPv6Address 
2017-03-14 09:40:36,209 [14] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Successfully registered at master server: serverId=0eb46b4b-d5b5-4ae1-9147-153c0b361d9a
